,batsman,matches,hard_hitting_ability,finisher,fast_scoring_ability,consistency,running_between_wickets
0,V Kohli,141,0.15569547796222094,0.16312056737588654,1.2658843732112193,37.483050847457626,0.6532203389830509
1,G Gambhir,146,0.15787940576755025,0.10273972602739725,1.2036120011651616,31.541984732824428,0.639225181598063
2,SK Raina,157,0.1709706144256456,0.1464968152866242,1.3499554764024932,33.940298507462686,0.6790830945558739
3,RG Sharma,153,0.160965180207697,0.1568627450980392,1.2849725106902872,32.6124031007752,0.6383831026948289
4,S Dhawan,126,0.15707154742096505,0.1349206349206349,1.1850249584026622,32.669724770642205,0.6048992493085736
5,RV Uthappa,143,0.16959459459459458,0.1048951048951049,1.2763513513513514,29.515625,0.6191446028513238
6,DA Warner,114,0.19331495520330808,0.12280701754385964,1.383184011026878,40.14,0.6193934216146946
7,MS Dhoni,143,0.15186567164179104,0.34265734265734266,1.328358208955224,37.87234042553192,0.7127144742630884
8,AM Rahane,105,0.1460415065334358,0.13333333333333333,1.1748654880860876,33.59340659340659,0.6377137713771377
9,CH Gayle,100,0.22235387045813587,0.11,1.4419431279620853,41.02247191011236,0.44032503809040124
10,AB de Villiers,118,0.18526228143213988,0.2288135593220339,1.4512905911740217,38.30769230769231,0.7102708226877874
11,KD Karthik,134,0.15127118644067797,0.12686567164179105,1.2300847457627118,24.811965811965813,0.6665
12,JH Kallis,95,0.13051069402007856,0.10526315789473684,1.0593627237014405,28.55294117647059,0.5740833751883475
13,BB McCullum,103,0.18386061439706555,0.04854368932038835,1.2631820265933058,28.112244897959183,0.5073033707865169
14,M Vijay,99,0.15583173996175909,0.04040404040404041,1.2002868068833652,26.431578947368422,0.5830028328611898
15,YK Pathan,133,0.18737957610789982,0.2631578947368421,1.407514450867052,29.816326530612244,0.6330764671013633
16,PA Patel,116,0.16116504854368932,0.07758620689655173,1.1271844660194175,21.700934579439252,0.535031847133758
17,Yuvraj Singh,116,0.16878048780487806,0.12931034482758622,1.2639024390243903,25.653465346534652,0.5428403755868545
18,SR Tendulkar,78,0.15900195694716243,0.11538461538461539,1.1418786692759295,33.82608695652174,0.5677719604421175
19,AT Rayudu,105,0.1446028513238289,0.1523809523809524,1.230142566191446,27.146067415730336,0.6678571428571428
